,CODE,Name.x,Abbreviation.x,Category.x,Notes,article_1,article_2,article_3,article_4,article_5,article_6,article_7,article_8,article_9,article_10,article_11,article_12,article_13,article_14,article_15,article_16,article_17,article_18,article_19,article_20,article_21,article_22,article_23,article_24,article_25,article_26,article_27,article_28,article_29,article_30,article_31,article_32,article_33,article_34,article_35,article_36,article_37,article_38,article_39,article_40,article_41,article_42,article_43,article_44,article_45,article_46,article_47,article_48,article_49,article_50,article_51,article_52,article_53,article_54,article_55,article_56,article_57,article_58,article_59,article_60,article_61,article_62,article_63,Name.y,Abbreviation.y,Category.y,Items,Accessibility,access_type,link,review,exclusion_reason,relevant,Report,name.z,category,construct,rating,norms,internal_cons,test_retest,validity,ts
271,MANNHEIMER CRAVING SCALE,Mannheimer Craving Scale,MaCS,Language,NA,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,MOTIVATION TO CHANGE INVENTORY FOR ADOLESCENTS (REVISED) - ICELANDIC VERSION,Motivation to Change Inventory for Adolescents (Revised) - Icelandic Version,MCIA-Revised,Language,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,MULTIDIMENSIONAL ALCOHOL CRAVING SCALE,Multidimensional Alcohol Craving Scale,MACS,Language,NA,32,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,PERSIAN VERSION OF THE NEGATIVE ALCOHOL METACOGNITIONS,Persian version of the Negative Alcohol Metacognitions,Persian-NAMS,Language,NA,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,PERSIAN VERSION OF THE POSITIVE ALCOHOL METACOGNITIONS,Persian version of the Positive Alcohol Metacognitions,Persian-PAMS,Language,NA,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,"SCREENING, WOMEN, AND ALCOHOL IN GOTEBORG","Screening, Women, and Alcohol in Goteborg",SWAG,Language,NA,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,"SMOKING ABSTINENCE QUESTIONNAIRE, ITALIAN VERSION","Smoking Abstinence Questionnaire, Italian Version", ,Language,NA,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,SPANISH ALCOHOL USE DISORDERS IDENTIFICATION TEST,Spanish Alcohol Use Disorders Identification Test,S-AUDIT,Language,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,SPANISH VERSION OF THE RUTGERS ALCOHOL PROBLEM INDEX,Spanish version of the Rutgers Alcohol Problem Index,S-RAPI,Language,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,SUBSTANCE ABUSE SCREENER IN AMERICAN SIGN LANGUAGE,Substance Abuse Screener in American Sign Language,SAS-ASL,Language,NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,SYRIAN CENTER FOR TOBACCO STUDIES-13,Syrian Center for Tobacco Studies-13,SCTS-13,Language,NA,314,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,TURKISH VERSION OF THE CHALLENGES TO STOPPING SMOKING SCALE-21,Turkish version of the Challenges to Stopping Smoking Scale-21,CSS-21,Language,NA,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,CHINESE VERSION OF TREATMENT OUTCOME PROFILE,Chinese version of Treatment Outcome Profile,TOP,Language,"exclude, not self report",86,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,SPANISH VERSION OF THE MARIJUANA CONSEQUENCES QUESTIONNAIRE,Spanish version of the Marijuana Consequences Questionnaire,S-MACQ,Language,NA,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,TAHEREH-HABIL-IRAN-MALAYSIA SCALE,Tahereh-Habil-Iran-Malaysia Scale,THIMS,Language,"exclude, calendar",247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,TURKISH VERSION OF DRUG USER DISORDERS IDENTIFICATION TEST - EXTENDED,Turkish version of Drug User Disorders Identification Test - Extended,Turkish DUDIT-E,Language,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,TURKISH VERSION OF THE CHALLENGES TO STOPPING SMOKING SCALE-21,Turkish version of the Challenges to Stopping Smoking Scale-21,CSS-21,Language,NA,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,5 STAGE MODEL OF SMOKING UPTAKE,5 Stage Model of Smoking Uptake, ,Nicotine,NA,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 Stage Model of Smoking Uptake, ,Nicotine,5,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,ADOLESCENT REASONS FOR QUITTING SCALE,Adolescent Reasons for Quitting scale,ARFQ,Nicotine,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adolescent Reasons for Quitting scale,ARFQ,Nicotine,27,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,AUTONOMY OVER TOBACCO SCALE,Autonomy over Tobacco Scale,AUTOS,Nicotine,NA,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autonomy over Tobacco Scale,AUTOS,Nicotine,12,Yes,Print-ready,https://healthcareproviders.albertaquits.ca/files/file/5cc8db061f4cc/Autonomy_Over_Tobacco_Scale.pdf,Include,NA,1,"DiFranza et al., 2009",Autonomy over Tobacco Scale,Nicotine,"Severity, Urges, Withdrawal",Good,Good,Excellent,Adequate,"CONCUR, DISCRIM",NA
291,AVOIDANCE AND INFLEXIBILITY SCALE,Avoidance and Inflexibility Scale,AIS,Nicotine,NA,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Avoidance and Inflexibility Scale,AIS,Nicotine,13,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,BARRIERS TO CESSATION SCALE,Barriers to Cessation Scale,BCS,Nicotine,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Barriers to Cessation Scale,BCS,Nicotine,19,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,BRIEF QUESTIONNAIRE ON SMOKING URGES,Brief Questionnaire on Smoking Urges,QSU-Brief,Nicotine,NA,290,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brief Questionnaire on Smoking Urges,QSU-Brief,Nicotine,10,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,BRIEF SMOKING CONSEQUENCES QUESTIONNAIRE,Brief Smoking Consequences Questionnaire,BSCQ-A,Nicotine,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brief Smoking Consequences Questionnaire,BSCQ-A,Nicotine,25,No,Print-ready,https://faculty.lsu.edu/copelanlab/scq_information.php,Include,NA,1,"Rash & Copeland, 2008",Brief Smoking Consequences Questionnaire,Nicotine,Consequences,Adequate,Good,Adequate,NA,"CONVERG, DIVERG",NA
295,BRIEF WISCONSION INVENTORY OF SMOKING DEPENDENCE MOTIVES,Brief Wisconsion Inventory of Smoking Dependence Motives,B-WISDM,Nicotine,NA,271,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brief Wisconsion Inventory of Smoking Dependence Motives,B-WISDM,Nicotine,37,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,CIGARETTE DEPENDENCE QUESTIONNAIRE,Cigarette Dependence Questionnaire,CDQ,Nicotine,NA,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cigarette Dependence Questionnaire,CDQ,Nicotine,30,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,CIGARETTE DEPENDENCE SCALE,Cigarette Dependence Scale,CDS,Nicotine,NA,333,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cigarette Dependence Scale,CDS,Nicotine,12,Yes,Print-ready,https://cancercontrol.cancer.gov/brp/tcrb/measures-guide/cigarette-dependence-scale-12,Exclude,No scoring/instructions/interpretation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,COMMITMENT TO QUITTING SMOKING SCALE,Commitment to Quitting Smoking Scale,CQSS,Nicotine,NA,Fsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Commitment to Quitting Smoking Scale,CQSS,Nicotine,8,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,COPING WITH TEMPTATION INVENTORY,Coping with Temptation Inventory,CWTI,Nicotine,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coping with Temptation Inventory,CWTI,Nicotine,48,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,DIMENSIONS OF TOBACCO DEPENDENCE SCALE,Dimensions of Tobacco Dependence Scale,DTDS,Nicotine,NA,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dimensions of Tobacco Dependence Scale,DTDS,Nicotine,49,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,DYADIC EFFICACY FOR SMOKING CESSATION,Dyadic efficacy for smoking cessation, ,Nicotine,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dyadic efficacy for smoking cessation, ,Nicotine,10,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,E-CIGARETTE DEPENDENCE SCALE,E-cigarette Dependence Scale,EDS-4,Nicotine,NA,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E-cigarette Dependence Scale,EDS-4,Nicotine,22,Yes,Print-ready,https://downloads.aap.org/RCE/EDS_Adolescent_Version_4_items.pdf,Include,NA,1,"Morean et al., 2019",E-cigarette Dependence Scale,Nicotine,Severity,Adequate,NA,Good,NA,"CONCUR, CONVERG",NA
303,FAGERSTROM TEST FOR NICOTINE DEPENDENCE,Fagerstrom Test for Nicotine Dependence,FTND,Nicotine,NA,91,93,180,183,186,227,260,284,299,322,333,349,356,381,383,436. 453,486,487,296,425,477,480,540,541,459,576,580,591,605,647,711,784,785,640,33,258,595,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fagerstrom Test for Nicotine Dependence,FTND,Nicotine,6,Yes,Print-ready,https://www.aarc.org/wp-content/uploads/2014/08/Fagerstrom_test.pdf,Include,NA,1,"Heatherton et al., 1991",Fagerstrom Test for Nicotine Dependence,Nicotine,Severity,Excellent,Excellent,Excellent,Excellent,CONVERG,X
304,FAGERSTROM TEST FOR NICOTINE DEPENDENCE FOR SMOKELESS TOBACCO USERS,Fagerstrom Test for Nicotine Dependence for Smokeless Tobacco Users,FTND-ST,Nicotine,NA,366,404,453,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fagerstrom Test for Nicotine Dependence for Smokeless Tobacco Users,FTND-ST,Nicotine,6,Yes,Print-ready,https://ctimaine.org/wp-content/uploads/2019/11/Fagerstrom-Scale-for-Nicotine-Dependence-Smokeless-Tobacco.pdf,Include,NA,1,"Ebbert et al., 2006",Fagerstrom Test for Nicotine Dependence for Smokeless Tobacco Users,Nicotine,Severity,Adequate,Good,Good,NA,"CONCUR, CONVERG",NA
305,FAGERSTROM TOLERANCE QUESTIONNAIRE,Fagerstrom Tolerance Questionnaire,FTQ,Nicotine,NA,453,454,506,459,574,580,582,605,624,711,302,640,651,33,258,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fagerstrom Tolerance Questionnaire,FTQ,Nicotine,8,Yes,Print-ready,https://cancercontrol.cancer.gov/sites/default/files/2020-06/mftq_questionnaire.pdf,Exclude,Measure was replaced with new version,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,GLOVER-NILSSON SMOKING BEHAVIORAL QUESTIONNAIRE,Glover-Nilsson Smoking Behavioral Questionnaire,GNSBQ,Nicotine,NA,281,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glover-Nilsson Smoking Behavioral Questionnaire,GNSBQ,Nicotine,11,Yes,Print-ready,http://pneumoncy.com/wp-content/uploads/2012/05/Glover-Nilsson-Smoking-Behavioral-Questionnaire.pdf,Include,NA,1,"Glover et al., 2005",Glover-Nilsson Smoking Behavioral Questionnaire,Nicotine,Severity,Good,Good,Good,Good,"CONCUR, CONVERG, DISCRIM",Not applicable
307,HEAVINESS OF SMOKING INDEX,Heaviness of Smoking Index,HSI,Nicotine,NA,286,477,332,605,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heaviness of Smoking Index,HSI,Nicotine,2,Yes,Print-ready,https://moqc.org/wp-content/uploads/2017/08/ASCO_Heaviness-of-Smoking-Index.pdf,Include,NA,1,"Heatherton et al., 1989",Heaviness of Smoking Index,Nicotine,Severity,Good,Good,Excellent,Adequate,"CONVERG, DIVERG, PREDICT",NA
308,HOOKED ON NICOTINE CHECKLIST,Hooked on Nicotine Checklist,HONC,Nicotine,NA,540,561,570,576,582,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hooked on Nicotine Checklist,HONC,Nicotine,10,Yes,Print-ready,https://www.umassmed.edu/globalassets/attocpenn/the_hooked_on_nicotine_checklist.pdf?_t_id=1B2M2Y8AsgTpgAmY7PhCfg%3D%3D&_t_q=HONC&_t_tags=language%3A%2Csiteid%3Ab5a143c9-b51e-4bac-9eab-62560b986673&_t_ip=192.197.205.213&_t_hit.id=UMassMedicalSchool_Models_Media_GenericMedia/_5988cfa9-f23e-48dc-8117-5a8bb1754254&_t_hit.pos=2,Include,NA,1,"DiFranza et al., 2002",Hooked on Nicotine Checklist,Nicotine,Use,Excellent,Excellent,Excellent,Good,"CONCUR, CONVERG, DIVERG, DISCRIM, PREDICT",Not applicable
